Link de Forms,Sec
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,0.1
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,0.2
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,0.3
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,1.1
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,1.2
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,1.3
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,1.68
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,1.96
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,2.24
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,2.52
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,2.8
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,3.08
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,3.36
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,3.64
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,3.92
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,4.2
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,4.48
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,4.76
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,5.04
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,5.32
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,5.6
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,5.88
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,6.16
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,6.44
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,6.72
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,7
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,7.28
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,7.56
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,7.84
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,8.12
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,8.4
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,8.68
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,8.96
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,9.24
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,9.52
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,9.8
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,10.08
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,10.36
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,10.64
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,10.92
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,11.2
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,11.48
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,11.76
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,12.04
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,12.32
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,12.6
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,12.88
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,13.16
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,13.44
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,13.72
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,14
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,14.28
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,14.56
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,14.84
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,15.12
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,15.4
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,15.68
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,15.96
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,16.24
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,16.52
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,16.8
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,17.08
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,17.36
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,17.64
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,17.92
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,18.2
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,18.48
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,18.76
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,19.04
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,19.32
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,19.6
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,19.88
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,20.16
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,20.44
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,20.72
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,21
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,21.28
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,21.56
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,21.84
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,22.12
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,22.4
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,22.68
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,22.96
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,23.24
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,23.52
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,23.8
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,24.08
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,24.36
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,24.64
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,24.92
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,25.2
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,25.48
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,25.76
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,26.04
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,26.32
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,26.6
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,26.88
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,27.16
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,27.44
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,27.72
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,28
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,28.28
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,28.56
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,28.84
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,29.12
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,29.4
https://www.youtube.com/watch?v=j5-yKhDd64s&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&start_radio=1,29.68
https://www.youtube.com/watch?v=xFYQQPAOz7Y&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=2,29.96
https://www.youtube.com/watch?v=gOMhN-hfMtY&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=3,30.24
https://www.youtube.com/watch?v=eJO5HU_7_1w&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=4,30.52
https://www.youtube.com/watch?v=S9bCLPwzSC0&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=5,30.8
https://www.youtube.com/watch?v=1wYNFfgrXTI&list=RDEMASZzAB4N6PSfsOwzAhxYyQ&index=6,31.08
https://inscripcion-diplomado.condusef.gob.mx/verifica_certificado.php?ida=424751&idg=28,Fer
